precision,recall,f1-score,accuracy
0.0026595744680851063,1.0,0.005305039787798408,0.0625
0.0,0.0,0.0,0.66
0.005649717514124294,1.0,0.011235955056179775,0.56
0.0035087719298245615,1.0,0.006993006993006993,0.29
0.0036363636363636364,1.0,0.007246376811594203,0.315
0.0033783783783783786,1.0,0.006734006734006735,0.2625
0.002770083102493075,1.0,0.0055248618784530384,0.1
0.00625,1.0,0.012422360248447204,0.6025
0.0045662100456621,1.0,0.00909090909090909,0.455
0.003676470588235294,1.0,0.007326007326007326,0.3225
0.004098360655737705,1.0,0.00816326530612245,0.3925
0.002932551319648094,1.0,0.005847953216374269,0.15
0.005025125628140704,1.0,0.01,0.505
0.0,0.0,0.0,0.625
0.0,0.0,0.0,0.09
0.0,0.0,0.0,0.6
0.0,0.0,0.0,0.2425
0.0,0.0,0.0,0.62
0.0,0.0,0.0,0.1025
0.003703703703703704,1.0,0.007380073800738007,0.3275
0.004098360655737705,1.0,0.00816326530612245,0.3925
0.0,0.0,0.0,0.1525
0.0,0.0,0.0,0.1175
0.003401360544217687,1.0,0.006779661016949153,0.2675
0.003952569169960474,1.0,0.007874015748031496,0.37
0.0,0.0,0.0,0.555
0.0,0.0,0.0,0.0375
0.005,1.0,0.009950248756218907,0.5025
0.002967359050445104,1.0,0.005917159763313609,0.16
0.003289473684210526,1.0,0.006557377049180327,0.2425
0.0028653295128939827,1.0,0.005714285714285714,0.13
0.004651162790697674,1.0,0.009259259259259259,0.465
0.0,0.0,0.0,0.3975
0.0,0.0,0.0,0.545
0.004310344827586207,1.0,0.008583690987124462,0.4225
0.0,0.0,0.0,0.26
0.0,0.0,0.0,0.435
0.003048780487804878,1.0,0.006079027355623101,0.1825
0.003787878787878788,1.0,0.007547169811320754,0.3425
0.004081632653061225,1.0,0.008130081300813009,0.39
0.0,0.0,0.0,0.4625
0.0,0.0,0.0,0.62
0.0,0.0,0.0,0.5075
0.0049504950495049506,1.0,0.009852216748768473,0.4975
0.0026041666666666665,1.0,0.005194805194805194,0.0425
0.0,0.0,0.0,0.4925
0.0,0.0,0.0,0.245
0.0,0.0,0.0,0.155
0.0026109660574412533,1.0,0.005208333333333334,0.045
0.003194888178913738,1.0,0.006369426751592357,0.22
0.0,0.0,0.0,0.6725
0.004878048780487805,1.0,0.009708737864077669,0.49
